ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
10.80.192.101,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.736897
10.80.192.91,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.726104
10.80.192.91,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.736853
10.80.192.113,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725488
10.80.192.113,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.737726
10.80.192.82,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723831
10.80.192.82,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.736207
10.80.192.60,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725602
10.80.192.60,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.736426
10.80.192.80,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725877
10.80.192.80,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.737252
10.80.192.83,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.724080
10.80.192.83,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.736251
10.80.192.62,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723535
10.80.192.62,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738436
10.80.192.76,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.727616
10.80.192.76,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738629
10.80.192.93,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.727747
10.80.192.93,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738672
10.80.192.89,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.726019
10.80.192.89,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738777
10.80.192.66,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725625
10.80.192.66,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.738813
10.80.192.98,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725167
10.80.192.98,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739010
10.80.192.97,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.727014
10.80.192.97,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.739081
